year,population,cumulative_luc_co2,land_use_change_co2,land_use_change_co2_per_capita,share_global_cumulative_luc_co2,share_global_luc_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,Glob
1880,1415841209.0,82680.234,3100.721,2.19,100.0,100.0,100.0,0.015,0.042,0.06,0.002,-0.17
1881,1423704727.0,85777.172,3096.935,2.175,100.0,100.0,100.0,0.016,0.044,0.062,0.003,-0.09
1882,1433553127.0,88937.008,3159.833,2.204,100.0,100.0,100.0,0.016,0.046,0.065,0.003,-0.11
1883,1444009167.0,92157.539,3220.534,2.23,100.0,100.0,100.0,0.017,0.048,0.068,0.003,-0.17
1884,1454595037.0,95397.734,3240.197,2.228,100.0,100.0,100.0,0.018,0.05,0.07,0.003,-0.28
1885,1465369425.0,98641.602,3243.862,2.214,100.0,100.0,100.0,0.018,0.052,0.073,0.003,-0.33
1886,1476245076.0,101913.672,3272.074,2.216,100.0,100.0,100.0,0.019,0.054,0.076,0.003,-0.32
1887,1487277339.0,105239.484,3325.813,2.236,100.0,100.0,100.0,0.02,0.056,0.079,0.003,-0.36
1888,1498437207.0,108563.586,3324.103,2.218,100.0,100.0,100.0,0.021,0.058,0.082,0.003,-0.18
1889,1509373834.0,111909.305,3345.72,2.217,100.0,100.0,100.0,0.021,0.06,0.085,0.004,-0.11
1890,1521669265.0,115375.938,3466.632,2.278,100.0,100.0,100.0,0.022,0.062,0.088,0.004,-0.35
1891,1530611585.0,118939.789,3563.851,2.328,100.0,100.0,100.0,0.023,0.064,0.091,0.004,-0.23
1892,1540822549.0,122538.938,3599.147,2.336,100.0,100.0,100.0,0.024,0.066,0.094,0.004,-0.27
1893,1550822689.0,126206.359,3667.42,2.365,100.0,100.0,100.0,0.025,0.068,0.097,0.004,-0.31
1894,1560960959.0,129909.195,3702.838,2.372,100.0,100.0,100.0,0.026,0.071,0.1,0.004,-0.31
1895,1571250732.0,133652.594,3743.387,2.382,100.0,100.0,100.0,0.026,0.073,0.104,0.004,-0.23
1896,1581628826.0,137429.188,3776.607,2.388,100.0,100.0,100.0,0.027,0.076,0.107,0.004,-0.11
1897,1592152786.0,141244.016,3814.835,2.396,100.0,100.0,100.0,0.028,0.078,0.111,0.005,-0.11
1898,1602801870.0,145090.0,3845.979,2.4,100.0,100.0,100.0,0.029,0.08,0.114,0.005,-0.27
1899,1614109121.0,148977.75,3887.748,2.409,100.0,100.0,100.0,0.03,0.083,0.118,0.005,-0.18
1900,1627883132.0,152980.547,4002.798,2.459,100.0,100.0,100.0,0.031,0.086,0.122,0.005,-0.08
1901,1638647517.0,157032.562,4052.018,2.473,100.0,100.0,100.0,0.032,0.088,0.126,0.005,-0.15
1902,1651840077.0,161149.797,4117.237,2.493,100.0,100.0,100.0,0.033,0.091,0.129,0.005,-0.28
1903,1665703540.0,165279.75,4129.938,2.479,100.0,100.0,100.0,0.034,0.094,0.133,0.005,-0.37
1904,1679752718.0,169472.703,4192.959,2.496,100.0,100.0,100.0,0.035,0.097,0.137,0.006,-0.47
1905,1693984163.0,173701.312,4228.622,2.496,100.0,100.0,100.0,0.036,0.1,0.142,0.006,-0.26
1906,1708411294.0,177945.078,4243.767,2.484,100.0,100.0,100.0,0.037,0.103,0.146,0.006,-0.22
1907,1723032738.0,182226.594,4281.506,2.485,100.0,100.0,100.0,0.038,0.106,0.151,0.006,-0.39
1908,1737874788.0,186540.234,4313.627,2.482,100.0,100.0,100.0,0.039,0.109,0.155,0.006,-0.43
1909,1752122665.0,190879.391,4339.153,2.477,100.0,100.0,100.0,0.04,0.113,0.16,0.006,-0.49
1910,1767847653.0,195198.609,4319.245,2.443,100.0,100.0,100.0,0.042,0.116,0.164,0.006,-0.44
1911,1778784032.0,199509.688,4311.062,2.424,100.0,100.0,100.0,0.043,0.119,0.169,0.007,-0.44
1912,1791197929.0,203757.484,4247.797,2.371,100.0,100.0,100.0,0.044,0.123,0.173,0.007,-0.36
1913,1803056235.0,207991.219,4233.752,2.348,100.0,100.0,100.0,0.045,0.126,0.178,0.007,-0.35
1914,1815104863.0,212218.75,4227.523,2.329,100.0,100.0,100.0,0.046,0.13,0.183,0.007,-0.15
1915,1827290389.0,216402.062,4183.311,2.289,100.0,100.0,100.0,0.048,0.133,0.188,0.007,-0.14
1916,1839559287.0,220531.641,4129.572,2.245,100.0,100.0,100.0,0.049,0.136,0.192,0.008,-0.36
1917,1851899055.0,224661.578,4129.938,2.23,100.0,100.0,100.0,0.05,0.14,0.197,0.008,-0.46
1918,1864869126.0,228811.422,4149.846,2.225,100.0,100.0,100.0,0.051,0.143,0.202,0.008,-0.3
1919,1878650358.0,232933.672,4122.244,2.194,100.0,100.0,100.0,0.052,0.146,0.207,0.008,-0.28
1920,1895682150.0,237190.875,4257.202,2.246,100.0,100.0,100.0,0.053,0.15,0.211,0.008,-0.27
1921,1908748639.0,241557.5,4366.633,2.288,100.0,100.0,100.0,0.054,0.153,0.216,0.008,-0.19
1922,1924826120.0,245979.828,4422.326,2.298,100.0,100.0,100.0,0.055,0.157,0.221,0.009,-0.28
1923,1941636900.0,250413.516,4433.685,2.283,100.0,100.0,100.0,0.057,0.16,0.226,0.009,-0.26
1924,1958716901.0,254877.125,4463.607,2.279,100.0,100.0,100.0,0.058,0.164,0.231,0.009,-0.27
1925,1976068839.0,259396.781,4519.666,2.287,100.0,100.0,100.0,0.059,0.168,0.236,0.009,-0.22
1926,1993719848.0,263903.875,4507.086,2.261,100.0,100.0,100.0,0.06,0.171,0.241,0.009,-0.11
1927,2011689749.0,268423.406,4519.544,2.247,100.0,100.0,100.0,0.061,0.175,0.246,0.01,-0.22
1928,2029682397.0,272960.406,4537.009,2.235,100.0,100.0,100.0,0.063,0.179,0.251,0.01,-0.2
1929,2048513689.0,277503.531,4543.116,2.218,100.0,100.0,100.0,0.064,0.183,0.257,0.01,-0.36
1930,2070596353.0,282070.0,4566.443,2.205,100.0,100.0,100.0,0.065,0.187,0.262,0.01,-0.16
1931,2088429965.0,286697.844,4627.876,2.216,100.0,100.0,100.0,0.066,0.19,0.267,0.011,-0.09
1932,2109357892.0,291379.0,4681.126,2.219,100.0,100.0,100.0,0.067,0.194,0.272,0.011,-0.16
1933,2131029147.0,296086.594,4707.629,2.209,100.0,100.0,100.0,0.069,0.198,0.277,0.011,-0.28
1934,2152969392.0,300828.562,4741.948,2.203,100.0,100.0,100.0,0.07,0.201,0.282,0.011,-0.12
1935,2175184808.0,305570.5,4741.948,2.18,100.0,100.0,100.0,0.071,0.205,0.288,0.011,-0.2
1936,2197830032.0,310343.969,4773.459,2.172,100.0,100.0,100.0,0.073,0.209,0.294,0.012,-0.14
1937,2220878589.0,315121.812,4777.856,2.151,100.0,100.0,100.0,0.074,0.213,0.299,0.012,-0.03
1938,2244005191.0,319928.0,4806.191,2.142,100.0,100.0,100.0,0.076,0.217,0.305,0.012,0.0
1939,2266483407.0,324741.031,4813.03,2.124,100.0,100.0,100.0,0.078,0.222,0.311,0.012,-0.02
1940,2290871362.0,329759.125,5018.093,2.19,100.0,100.0,100.0,0.079,0.226,0.318,0.012,0.13
1941,2307736768.0,334928.312,5169.171,2.24,100.0,100.0,100.0,0.081,0.231,0.325,0.013,0.19
1942,2326734579.0,340129.75,5201.415,2.235,100.0,100.0,100.0,0.083,0.235,0.331,0.013,0.07
1943,2344581440.0,345346.531,5216.803,2.225,100.0,100.0,100.0,0.085,0.24,0.338,0.013,0.09
1944,2362439908.0,350561.5,5214.971,2.207,100.0,100.0,100.0,0.087,0.244,0.345,0.014,0.21
1945,2380167769.0,355744.844,5183.338,2.178,100.0,100.0,100.0,0.089,0.249,0.352,0.014,0.1
1946,2397811266.0,360911.938,5167.095,2.155,100.0,100.0,100.0,0.091,0.253,0.358,0.014,-0.07
